iter	Passed	Remaining
0	5	168
1	11	160
2	19	172
3	24	159
4	32	163
5	38	153
6	45	150
7	51	141
8	59	139
9	65	131
10	68	117
11	74	112
12	80	105
13	86	98
14	93	93
15	99	86
16	106	81
17	111	74
18	119	69
19	125	62
20	130	56
21	141	51
22	148	45
23	155	38
24	161	32
25	168	25
26	174	19
27	181	12
28	186	6
29	192	0
