iter	Logloss
0	0.6899496265
1	0.687151531
2	0.6845231832
3	0.6819452528
4	0.6797312042
5	0.677441187
6	0.6754584692
7	0.6734416375
8	0.6718178009
9	0.6702041712
10	0.6690514904
11	0.6673764829
12	0.6661052254
13	0.6647066915
14	0.6634318719
15	0.6623235118
16	0.6614418929
17	0.6606034986
18	0.659475684
19	0.6587642922
20	0.6580671488
21	0.6571196996
22	0.6564770152
23	0.6557689799
24	0.6550920446
25	0.6543851739
26	0.6536651509
27	0.6530378108
28	0.6523228569
29	0.651660444
