iter	Passed	Remaining
881	34274	4585
882	34313	4546
883	34349	4507
884	34388	4468
885	34424	4429
886	34463	4390
887	34505	4352
888	34543	4313
889	34586	4274
890	34625	4235
891	34659	4196
892	34699	4157
893	34740	4119
894	34777	4080
895	34817	4041
896	34859	4002
897	34902	3964
898	34942	3925
899	34986	3887
900	35032	3849
901	35077	3811
902	35116	3772
903	35159	3733
904	35202	3695
905	35244	3656
906	35287	3618
907	35329	3579
908	35369	3540
909	35413	3502
910	35452	3463
911	35498	3425
912	35537	3386
913	35581	3347
914	35621	3309
915	35652	3269
916	35695	3230
917	35731	3191
918	35766	3152
919	35801	3113
920	35836	3073
921	35869	3034
922	35900	2994
923	35932	2955
924	35970	2916
925	36010	2877
926	36045	2838
927	36096	2800
928	36132	2761
929	36168	2722
930	36206	2683
931	36245	2644
932	36282	2605
933	36321	2566
934	36356	2527
935	36393	2488
936	36443	2450
937	36482	2411
938	36514	2372
939	36550	2332
940	36583	2293
941	36616	2254
942	36647	2215
943	36680	2175
944	36717	2136
945	36755	2098
946	36790	2059
947	36822	2019
948	36856	1980
949	36891	1941
950	36923	1902
951	36956	1863
952	36993	1824
953	37032	1785
954	37092	1747
955	37139	1709
956	37173	1670
957	37212	1631
958	37250	1592
959	37288	1553
960	37340	1515
961	37379	1476
962	37419	1437
963	37453	1398
964	37495	1359
965	37537	1321
966	37570	1282
967	37601	1243
968	37637	1204
969	37669	1165
970	37703	1126
971	37741	1087
972	37777	1048
973	37816	1009
974	37856	970
975	37890	931
976	37924	892
977	37956	853
978	37990	814
979	38022	775
980	38056	737
981	38089	698
982	38122	659
983	38163	620
984	38199	581
985	38233	542
986	38275	504
987	38316	465
988	38363	426
989	38400	387
990	38445	349
991	38485	310
992	38528	271
993	38566	232
994	38606	194
995	38645	155
996	38683	116
997	38715	77
998	38756	38
999	38786	0
