iter	Logloss
0	0.6871015409
1	0.6818464702
2	0.6773592925
3	0.6735384175
4	0.6702979779
5	0.6674864102
6	0.6645828775
7	0.6622458284
8	0.6602320463
9	0.6584818425
10	0.6570332544
11	0.6557162471
12	0.6543389138
13	0.6531932155
14	0.6523432768
15	0.651242384
16	0.6503603931
17	0.6495495033
18	0.6487248966
19	0.6481267351
20	0.647120835
21	0.6466220826
22	0.6460774053
23	0.6452422428
24	0.6443488807
25	0.643864942
26	0.6432051109
27	0.6425165182
28	0.6420603993
29	0.6416733308
30	0.6410998523
31	0.6406183941
32	0.6400647252
33	0.6395685916
34	0.639250748
35	0.6387995188
36	0.6382730874
37	0.6378181682
38	0.6374009792
39	0.6370083683
40	0.6366599943
41	0.6359670082
42	0.6354469846
43	0.6351687109
44	0.6348435059
45	0.6345367964
46	0.6340933475
47	0.6336894073
48	0.6332735355
49	0.6328578259
50	0.6324433938
51	0.6321859524
52	0.6317728665
53	0.6314453403
54	0.6311190223
55	0.6307752196
56	0.6304934863
57	0.6301578948
58	0.6298383566
59	0.6295572348
60	0.6292759739
61	0.6289363178
62	0.6285808776
63	0.6281512181
64	0.6279665006
65	0.6277529192
66	0.627438562
67	0.6272129982
68	0.6269252695
69	0.6265920551
70	0.6263457551
71	0.6260433353
72	0.6256953315
73	0.6253882623
74	0.6249657732
75	0.6246467621
76	0.6243093717
77	0.6238601352
78	0.6236600114
79	0.6233523724
80	0.6231923844
81	0.622854203
82	0.6226160946
83	0.6222939143
84	0.6219311438
85	0.6216407656
86	0.6212483664
87	0.6208241515
88	0.6205790027
89	0.6202330673
90	0.6198668807
91	0.6196146203
92	0.6193717564
93	0.6190632269
94	0.6188232265
95	0.618555329
96	0.618311573
97	0.6180497436
98	0.6177740784
99	0.6175132929
100	0.6172377758
101	0.6168853367
102	0.6165826775
103	0.6162882193
104	0.6159974489
105	0.6157254641
106	0.6152250246
107	0.6149080913
108	0.6145563397
109	0.6143243253
110	0.6140303204
111	0.6137486165
112	0.6135905998
113	0.6134163778
114	0.6131524852
115	0.6130119444
116	0.6126979166
117	0.6124192819
118	0.6122628461
119	0.6120165603
120	0.6117580205
121	0.6115317741
122	0.6112389562
123	0.610995586
124	0.6107177372
125	0.6104522628
126	0.6101491451
127	0.6099204564
128	0.6096819447
129	0.609519567
130	0.6091553304
131	0.6089066839
132	0.6086700296
133	0.6083853544
134	0.6081109256
135	0.6079345393
136	0.6076741761
137	0.6074369
138	0.6071592656
139	0.6069198877
140	0.6065442136
141	0.6063051255
142	0.606055795
143	0.6056919642
144	0.6054459243
145	0.6052022878
146	0.6050040766
147	0.6048091206
148	0.6046050044
149	0.6043509876
150	0.6041221679
151	0.6038808106
152	0.6037175986
153	0.6033882776
154	0.6032530704
155	0.6029436976
156	0.6027466515
157	0.6025430586
158	0.6023019616
159	0.6020560433
160	0.601857097
161	0.6013358804
162	0.6011355494
163	0.6007284698
164	0.6004837424
165	0.6001363443
166	0.599944485
167	0.599654738
168	0.5993936559
169	0.5992662737
170	0.5991457439
171	0.5988026457
172	0.5985428944
173	0.5983000598
174	0.5978029469
175	0.5975232617
176	0.5972594171
177	0.5970587951
178	0.5966789688
179	0.5964360862
180	0.5961997311
181	0.5959043216
182	0.5956360028
183	0.595386809
184	0.5951808174
185	0.5949027078
186	0.5947401992
187	0.5944161779
188	0.5942325611
189	0.5940387749
190	0.5938215618
191	0.5936457442
192	0.5934751992
193	0.5932657022
194	0.5930608765
195	0.5928005248
196	0.5925647068
197	0.5922585
198	0.5920524514
199	0.5918684879
200	0.591538666
201	0.5913412195
202	0.591081862
203	0.5908181859
204	0.5905744951
205	0.5903757096
206	0.5899955634
207	0.5897980243
208	0.5895361474
209	0.5893104381
210	0.5890595757
211	0.5887629872
212	0.5885276437
213	0.5882688393
214	0.587920294
215	0.5875949438
216	0.5872902949
217	0.5870093251
218	0.5866816047
219	0.5864367337
220	0.5860979858
221	0.585806752
222	0.585608321
223	0.5853713469
224	0.5851342227
225	0.5848535039
226	0.5846102715
227	0.5843641859
228	0.5840804445
229	0.5838580348
230	0.5835834347
231	0.583370553
232	0.5831684242
233	0.5829479152
234	0.5827341783
235	0.5825056268
236	0.5822863067
237	0.5820868287
238	0.581873078
239	0.5816059831
240	0.5813761737
241	0.5811308269
242	0.5808446229
243	0.5806463879
244	0.5803768789
245	0.5801954599
246	0.5799620075
247	0.5797572429
248	0.5796163894
249	0.5794375638
250	0.5792603573
251	0.5790286562
252	0.5788610415
253	0.5784502951
254	0.57818787
255	0.5779917457
256	0.5777721768
257	0.5775434608
258	0.5772944938
259	0.5771521258
260	0.576871254
261	0.576734997
262	0.5764844887
263	0.5763153971
264	0.5761284726
265	0.5759661118
266	0.5756966663
267	0.5754886843
268	0.5752683799
269	0.5750003676
270	0.5748065903
271	0.5745528107
272	0.5742965506
273	0.5741361618
274	0.5739815509
275	0.5738051191
276	0.5735770552
277	0.5734184102
278	0.5732220527
279	0.5730816067
280	0.5728112689
281	0.5726238081
282	0.5723600092
283	0.5721650816
284	0.5719275918
285	0.5717036777
286	0.5714624327
287	0.5713652867
288	0.5711184942
289	0.5709373638
290	0.5707553131
291	0.5705221773
292	0.5702497858
293	0.5701154871
294	0.5699989627
295	0.5698105882
296	0.5695799981
297	0.5694017009
298	0.569255551
299	0.5690280779
300	0.5688306034
301	0.568636433
302	0.5684657991
303	0.5681728409
304	0.5679562445
